index,CIP13_court,CIP13_long,numero_dossier,type_rupture,date_debut,date_fin,col7,url_detail,nom_rupture,nom_marque,idx,CIS_matched,nom_matched,methode,CIS,code_ATC
92,67401121,,4,Remise à disposition,04/05/2026,04/05/2026,04/05/2026,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/imukin-2-x-106-ui-0-1-mg-solution-injectable-interferon-gamma-1b,imukin 2 x 106 ui 0 1 mg solution injectable interferon gamma 1b,imukin,92,67401121.0,"IMUKIN 2 x 10<sup>6</sup> UI (0,1 mg), solution injectable",nom_marque_exact,67401121.0,L03AB03
93,67563415,,2,Tension d'approvisionnement,16/04/2026,04/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/burinex-1-mg-et-5-mg-comprime-bumetanide,burinex 1 mg et 5 mg comprime bumetanide,burinex,93,68232635.0,"BURINEX 1 mg, comprimé",nom_marque_exact,68232635.0,C03CA02
94,68232635,,2,Tension d'approvisionnement,16/04/2026,04/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/burinex-1-mg-et-5-mg-comprime-bumetanide,burinex 1 mg et 5 mg comprime bumetanide,burinex,94,68232635.0,"BURINEX 1 mg, comprimé",nom_marque_exact,68232635.0,C03CA02
95,66288464,,2,Tension d'approvisionnement,03/04/2026,04/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/dobutamine-panpharma-250-mg-20-ml-solution-a-diluer-pour-perfusion-dobutamine-chlorhydrate-de,dobutamine panpharma 250 mg 20 ml solution a diluer pour perfusion dobutamine chlorhydrate de,dobutamine panpharma,95,66288464.0,"DOBUTAMINE PANPHARMA 250 mg/20 ml, solution à diluer pour perfusion",nom_marque_exact,66288464.0,C01CA07
96,63011070,,4,Remise à disposition,15/12/2025,04/05/2026,15/12/2025,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/baclofene-eg-10-mg-comprime-secable-baclofene,baclofene eg 10 mg comprime secable baclofene,baclofene eg,96,63011070.0,"BACLOFENE EG 10 mg, comprimé sécable",nom_marque_exact,63011070.0,M03BX01
97,63941426,,4,Remise à disposition,01/11/2025,04/05/2026,01/11/2025,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/pylera-140-mg-125-mg-125-mg-gelule-bismuth-potassique-sous-citrate-de-metronidazole-tetracycline-chlorhydrate-de,pylera 140 mg 125 mg 125 mg gelule bismuth potassique sous citrate de metronidazole tetracycline chlorhydrate de,pylera,97,63941426.0,"PYLERA 140 mg/125 mg/125 mg, gélule",nom_marque_exact,63941426.0,A02BD08
98,65381773,,3,Arrêt de commercialisation,17/11/2011,04/05/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/cardiorythmine-50-mg-10-ml-solution-injectable-ajmaline,cardiorythmine 50 mg 10 ml solution injectable ajmaline,cardiorythmine,98,,,aucun,,
99,60516982,3400939316963.0,2,Tension d'approvisionnement,30/01/2026,04/06/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/tarka-lp-240-mg-4-mg-comprime-pellicule-a-liberation-prolongee-boite-de-30-comprimes-trandolapril-verapamil-chlorhydrate-de,tarka lp 240 mg 4 mg comprime pellicule a liberation prolongee boite de 30 comprimes trandolapril verapamil chlorhydrate de,tarka lp,99,64603331.0,"TARKA LP 240 mg/2 mg, comprimé pelliculé à libération prolongée",nom_marque_exact,64603331.0,C09BB10
100,68503549,3400936576926.0,2,Tension d'approvisionnement,23/12/2025,30/04/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/chlorhydrate-doxybuprocaine-thea-1-6-mg-0-4-ml-collyre-en-recipient-unidose-boites-de-20-unidoses-et-boites-de-100-unidoses-chlorhydrate-doxybuprocaine,chlorhydrate doxybuprocaine thea 1 6 mg 0 4 ml collyre en recipient unidose boites de 20 unidoses et boites de 100 unidoses chlorhydrate doxybuprocaine,chlorhydrate doxybuprocaine thea,100,68503549.0,"CHLORHYDRATE D'OXYBUPROCAINE THEA 1,6 mg/0,4 ml, collyre en récipient unidose",premier_mot,68503549.0,S01HA02
101,68503549,3400936576865.0,2,Tension d'approvisionnement,23/12/2025,30/04/2026,,https://ansm.sante.fr/disponibilites-des-produits-de-sante/medicaments/chlorhydrate-doxybuprocaine-thea-1-6-mg-0-4-ml-collyre-en-recipient-unidose-boites-de-20-unidoses-et-boites-de-100-unidoses-chlorhydrate-doxybuprocaine,chlorhydrate doxybuprocaine thea 1 6 mg 0 4 ml collyre en recipient unidose boites de 20 unidoses et boites de 100 unidoses chlorhydrate doxybuprocaine,chlorhydrate doxybuprocaine thea,101,68503549.0,"CHLORHYDRATE D'OXYBUPROCAINE THEA 1,6 mg/0,4 ml, collyre en récipient unidose",premier_mot,68503549.0,S01HA02
