periode,capacite_fabricant,disruption_fabricant,duree_disruption_restante,demande_patient,demande_prevue,commande_pharmacie,commande_grossiste,livraison_grossiste,livraison_pharmacie,demande_non_servie,taux_service,stock_grossiste,stock_pharmacie,stock_transit_fg,stock_transit_gp,rupture_grossiste,rupture_pharmacie,target_rupture_4_semaines
0,110.00000000000001,False,0,111.88217111424686,100.0,150.0,1100.0,0.0,0.0,0.0,1.0,600.0,38.11782888575314,110.00000000000001,150.0,False,False,1
1,123.07038822567155,False,0,101.88277413554891,111.88217111424686,273.7643422284937,1111.8821711142468,0.0,150.0,0.0,1.0,450.0,86.23505475020423,233.07038822567156,273.7643422284937,False,False,1
2,117.57071988738768,False,0,85.9292316785015,106.88247262489789,220.64741787469364,1256.882472624898,0.0,273.7643422284937,0.0,1.0,176.23565777150628,274.0701653001965,350.64110811305926,220.64741787469364,True,False,1
3,109.887864873709,False,0,71.63993787664006,99.8980589760991,25.8278936759026,1523.6624012045927,0.0,176.23565777150628,0.0,1.0,0.0,378.66588519506274,460.5289729867683,25.8278936759026,True,False,1
4,130.0,False,0,110.35259498746902,92.83352870123433,0.0,1692.8335287012344,110.00000000000001,25.8278936759026,0.0,1.0,84.17210632409741,294.1411838834963,480.5289729867682,0.0,True,False,0
5,130.0,False,0,101.96119611649426,96.33734195848128,2.1961580749849787,1612.1652356343839,123.07038822567155,0.0,0.0,1.0,207.24249454976896,192.17998776700205,487.4585847610967,2.1961580749849787,False,False,1
6,130.0,False,0,106.86626198020518,97.27465098481677,105.09466321781473,1490.032156435048,117.57071988738768,2.1961580749849787,0.0,1.0,322.6170563621717,87.50988386178183,499.887864873709,105.09466321781473,False,False,1
7,130.0,False,0,120.6185801395088,98.64488112701511,211.13499726523327,1376.0278247648434,109.887864873709,105.09466321781473,0.0,1.0,327.410258018066,71.98596694008776,520.0,211.13499726523327,False,False,1
8,130.0,False,0,76.87186962724358,101.39159350357683,229.40562656348908,1373.9813354855107,130.0,211.13499726523327,0.0,1.0,246.2752607528327,206.2490945780774,520.0,229.40562656348908,False,False,1
9,130.0,False,0,85.47169218865542,97.01530581770142,90.76621123962401,1450.7400450648686,130.0,229.40562656348908,0.0,1.0,146.86963418934363,350.18302895291106,520.0,90.76621123962401,True,False,1
10,130.0,False,0,95.62071925974898,94.96392057433972,0.0,1548.094286384996,130.0,90.76621123962401,0.0,1.0,186.10342294971963,345.3285209327861,520.0,0.0,True,False,0
11,130.0,False,0,87.03949502826268,96.17535652199567,0.0,1510.071933572276,130.0,0.0,0.0,1.0,316.10342294971963,258.28902590452344,520.0,0.0,False,False,0
12,130.0,False,0,96.57419362702399,98.1003011659485,39.81127526142505,1381.9968782162289,130.0,0.0,0.0,1.0,446.10342294971963,161.71483227749945,520.0,39.81127526142505,False,False,0
13,130.0,False,0,105.66246799530538,96.37800099589286,134.66316871839342,1250.2745780461732,130.0,39.81127526142505,0.0,1.0,536.2921476882946,95.86363954361914,520.0,134.66316871839342,False,False,0
14,130.0,False,0,78.36423886676931,96.84065998074425,200.9770204371251,1160.5485122924497,130.0,134.66316871839342,0.0,1.0,531.6289789699011,152.16256939524325,520.0,200.9770204371251,False,False,0
15,130.0,False,0,83.49326461961208,93.27790709156477,141.11533769632152,1161.6489281216636,130.0,200.9770204371251,0.0,1.0,460.651958532776,269.64632521275627,520.0,141.11533769632152,False,False,0
16,130.0,False,0,114.4223360879543,88.63724265157768,18.990917438821413,1227.9852841188017,130.0,141.11533769632152,0.0,1.0,449.5366208364545,296.3393268211235,520.0,18.990917438821413,False,False,0
17,130.0,False,0,97.54035997590422,93.33105095916652,0.0,1243.7944301227121,130.0,18.990917438821413,0.0,1.0,560.5457033976331,217.78988428404074,520.0,0.0,False,False,0
18,130.0,False,0,78.06044121539541,94.83963443257262,77.04975014853188,1134.2939310349395,130.0,0.0,0.0,1.0,690.5457033976331,139.7294430686453,520.0,77.04975014853188,False,False,0
19,130.0,False,0,79.7780631184494,92.64459967702842,152.9151566083831,1002.0988962793953,130.0,77.04975014853188,0.0,1.0,743.4959532491013,137.0011300987278,520.0,152.9151566083831,False,False,0
20,130.0,False,0,110.34421255030827,91.73692068830177,154.73579058957398,948.2409674392005,130.0,152.9151566083831,0.0,1.0,720.5807966407182,179.5720741568026,520.0,154.73579058957398,False,False,0
21,130.0,False,0,103.06346264385078,93.4581730537123,113.88609889690969,972.8773764129942,130.0,154.73579058957398,0.0,1.0,695.8450060511442,231.2444021025258,520.0,113.88609889690969,False,False,0
22,130.0,False,0,100.74699805906423,93.13329738478048,61.888895282254666,997.2882913336363,130.0,113.88609889690969,0.0,1.0,711.9589071542346,244.3835029403713,520.0,61.888895282254666,False,False,0
23,130.0,False,0,106.88151287362888,95.93114228381734,51.547639343446036,983.9722351295827,130.0,61.888895282254666,0.0,1.0,780.0700118719799,199.39088534899707,520.0,51.547639343446036,False,False,0
24,130.0,False,0,90.47280139944537,98.85467331556944,99.46378796657237,918.7846614435896,130.0,51.547639343446036,0.0,1.0,858.5223725285339,160.46572329299772,520.0,99.46378796657237,False,False,0
25,130.0,False,0,110.82948403383975,95.86098147950582,135.3952581865081,837.338608950972,130.0,99.46378796657237,0.0,1.0,889.0585845619615,149.10002722573032,520.0,135.3952581865081,False,False,0
26,130.0,False,0,119.98277614455816,97.52212198674776,148.42209476101743,808.4635374247862,130.0,135.3952581865081,0.0,1.0,883.6633263754534,164.5125092676803,520.0,148.42209476101743,False,False,0
27,130.0,False,0,91.59822975950179,102.7624138528931,138.24990458521282,819.0990874774398,130.0,148.42209476101743,0.0,1.0,865.241231614436,221.33637426919591,520.0,138.24990458521282,False,False,0
28,130.0,False,0,98.82823166345477,104.23993468302466,82.90356041382874,838.9987030685887,130.0,138.24990458521282,0.0,1.0,856.9913270292232,260.758047190954,520.0,82.90356041382874,False,False,0
29,130.0,False,0,91.11673205801802,102.80043707216797,42.04238988121395,845.8091100429448,130.0,82.90356041382874,0.0,1.0,904.0877666153945,252.54487554676476,520.0,42.04238988121395,False,False,0
30,130.0,False,0,87.79980195049195,101.30709574893888,48.76222020217412,797.2193291335444,130.0,42.04238988121395,0.0,1.0,992.0453767341805,206.78746347748677,520.0,48.76222020217412,False,False,0
31,130.0,False,0,85.2525392311714,99.68869623536733,92.90123275788056,707.6433195011869,130.0,48.76222020217412,0.0,1.0,1073.2831565320064,170.2971444484895,520.0,92.90123275788056,False,False,0
32,130.0,False,0,101.75962121345636,96.98507453006015,126.68793008157066,623.7019179980538,130.0,92.90123275788056,0.0,1.0,1110.3819237741259,161.43875599291374,520.0,126.68793008157066,False,False,0
33,130.0,False,0,89.32470613683404,98.39592700681152,136.95717101389778,588.0140032326856,130.0,126.68793008157066,0.0,1.0,1113.6939936925553,198.80197993765034,520.0,136.95717101389778,False,False,0
